name,token
AberforthDumbledore
AlastorMoody
AlbertRuncorn
AlbusDumbledore
AlbusPotter
AlectaCarrow
AliciaSpinnet
AmycusCarrow
AmosDiggory
AntoninDolohov
ArabellaFigg
Aragog
ArgusFilch
ArthurWeasley
AuntMuriel
Bane
BartyCrouch
BartyCrouchJr
BathildaBagshot
BellatrixLestrange
BillWeasley
Buckbeak
CedricDiggory
CharlieWeasley
ChoChang
ColinCreevey
CorbanYaxley
CormacMcLaggen
CorneliusFudge
Crookshanks
DeanThomas
Dobby
DoloresUmbridge
DracoMalfoy
DudleyDursley
ElphiasDoge
ErniePrang
Fawkes
FenrirGreyback
FiliusFlitwick
Firenze
FleurDelacour
FrankBryce
FredWeasley
GarrickOllivander
GeorgeWeasley
GilderoyLockhart
GinnyWeasley
Grawp
GregoryGoyle
Griphook
HannahAbbott
HarryPotter
Hedwig
HelenaRavenclaw
HermioneGranger
HoraceSlughorn
IgorKarkaroff
JamesPotter
JustinFinch-Fletchley
KatieBell
KingsleyShacklebolt
Kreacher
LavenderBrown
LilyPotter
LordVoldemort
LuciusMalfoy
LudoBagman
LunaLovegood
MadameMaxime
MadamHooch
MadamPomfrey
MadamRosmerta
Mad-EyeMoody
MafaldaHopkirk
MargeDursley
MinervaMcGonagall
MoaningMyrtle
MollyWeasley
MrOllivander
MrsFigg
MundungusFletcher
NarcissaMalfoy
NearlyHeadlessNick
NevilleLongbottom
NymphadoraTonks
OliverWood
OlympeMaxime
PadmaPatil
PansyParkinson
ParvatiPatil
PercyWeasley
PeterPettigrew
PetuniaDursley
PiusThicknesse
PomonaSprout
PoppyPomfrey
ProfessorDumbledore
ProfessorFlitwick
ProfessorGrubbly-Plank
ProfessorLockhart
ProfessorLupin
ProfessorMcGonagall
ProfessorMoody
ProfessorQuirrell
ProfessorSlughorn
ProfessorSnape
ProfessorSprout
ProfessorTrelawney
ProfessorUmbridge
QuirinusQuirrell
RegCattermole
RemusLupin
RitaSkeeter
RolandaHooch
RomildaVane
RonWeasley
RoseWeasley
RubeusHagrid
RufusScrimgeour
Scabbers
Scabior
SeamusFinnegan
SeverusSnape
SiriusBlack
StanShunpike
SybillTrelawney
TheBloodyBaron
TheFatLady
TheSortingHat
ThorfinnRowle
TomRiddle
VernonDursley
ViktorKrum
VincentCrabbe
Voldemort
WilhelminaGrubbly-Plank
Winky
Wormtail
XenophiliusLovegood